	服をかってきた。
		最近しばしば行きがちな[MAISON SPECIAL]メゾンスペシャルという、ブランドの、店のやつである。
		Fashionsnap.comという、メディアで、たまに目にしており、存在は、存じていた。
		昨年末、眼鏡を変えたのだが、メガネ屋の向かいに店舗が存在していたため、メガネの袋を下げて入ってみたところ、出ることができたのである。長年、メゾンスペシャルの店舗から出てみたかったため、はいることが出来たのは暁光であった。
		店内は、建築としても見所がある。
		そしてモノは随分かっこいい割に、驚きの安さであり、価格破壊である。
		そのため、ファストファッションを超えた品質のかっこいい服に興味があるが、そう高い金額は出したくないという人に、MAISON SPECIALはおすすめである。
		確かに最近どこかで見た感は否めないモノも多いのだが、そういうドメブラと思えばそういうものだし、なおかつある程度以上真面目に作られていそうなので、それが1, 2万円台で買えてしまうのは、服好きがみたら結構驚く事だろう。
		なんでこんな安いのか謎であるという訳である。
		https://maisonspecial.co.jp
		https://maisonspecial.co.jp/apps/staffstart/coordinates/35714513
		この青いズボンを買ってみた。色がとてもよいと思った
		 良い色[cak.icon]
		 光を玉虫のように反射し、またドレープによる陰影をよく作るため、何色とも言い切れないのである[はるひ.icon]
		 しかしこの度、我々は、これを可能にする人材を発見した。
		 [https://www.youtube.com/shorts/oKrnmJdLg54]
		ズボンに関しては　https://ja.wikipedia.org/wiki/ズボン#%E3%80%8Cズボン%E3%80%8Dの語源　がわらえる
		この店は袋がおもしろい
		[https://gyazo.com/c02a70326699af3032a2fc457119a93b]
		プチプチで覆われており日常遣いのトートバッグとして保存に値する。動物の足跡が化石となるように・・・
	もうひとつ袋下げてスタバ行ったらエルメス買われたんですか〜？といわれる。しかしピエールエルメなのだった
		支払額　1/1000
		[https://gyazo.com/79b721125703533a49883dfc1854c658]
 		https://yslc.exblog.jp/19894930/　画像検索からお借り
 		買って食って捨ててしまった
		この側面がオレンジ色でちょっとにてるという訳だ。世には多くの訳が出回っているようだが、訳というのは奥が深いな
